date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,132.0,140.7,131.75,140.05,29486720,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,140.75,141.4,137.1,137.75,13744440,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,137.75,139.05,136.85,138.45,8454060,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,139.25,140.0,137.8,139.4,12446900,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,139.75,142.2,139.7,141.7,11679683,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,142.55,145.75,141.8,145.45,14655298,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,145.4,145.4,142.85,143.3,7670386,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,145.15,145.5,143.25,144.1,6334581,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,144.1,151.2,143.75,149.5,20271714,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,149.5,150.9,148.0,149.5,10211720,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,150.35,150.85,146.8,148.45,8384625,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,148.75,150.25,145.05,145.55,6574122,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,145.75,149.6,145.55,148.65,11503199,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,149.25,153.0,148.6,149.8,17462235,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,148.05,148.05,142.25,143.5,14466758,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,142.95,145.15,139.55,141.05,10854431,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,139.75,146.35,139.05,145.9,7267866,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,143.65,146.05,142.75,145.3,9269062,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,145.35,149.75,145.35,146.4,10310726,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,148.15,148.15,143.9,144.55,5811200,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,146.75,148.2,143.35,147.8,7248713,20220201,0000,20220201_0000
2022-02-02 00:00:00+05:30,147.75,149.35,147.0,148.6,5369074,20220202,0000,20220202_0000
2022-02-03 00:00:00+05:30,147.85,148.9,145.35,146.05,4654885,20220203,0000,20220203_0000
2022-02-04 00:00:00+05:30,146.05,147.55,144.75,145.15,6402287,20220204,0000,20220204_0000
2022-02-07 00:00:00+05:30,145.4,147.75,144.4,145.7,5871041,20220207,0000,20220207_0000
2022-02-08 00:00:00+05:30,146.6,147.25,143.1,144.7,14158927,20220208,0000,20220208_0000
2022-02-09 00:00:00+05:30,145.25,154.1,144.75,153.35,35079516,20220209,0000,20220209_0000
2022-02-10 00:00:00+05:30,153.75,155.05,149.75,152.8,17724098,20220210,0000,20220210_0000
2022-02-11 00:00:00+05:30,152.7,154.05,149.95,151.25,10097767,20220211,0000,20220211_0000
2022-02-14 00:00:00+05:30,150.85,151.0,145.9,146.4,9478670,20220214,0000,20220214_0000
2022-02-15 00:00:00+05:30,147.5,149.6,144.6,148.4,16850616,20220215,0000,20220215_0000
2022-02-16 00:00:00+05:30,150.0,150.75,147.55,148.6,10653203,20220216,0000,20220216_0000
2022-02-17 00:00:00+05:30,149.45,150.25,147.45,147.8,6906440,20220217,0000,20220217_0000
2022-02-18 00:00:00+05:30,147.75,153.0,147.35,152.05,23740696,20220218,0000,20220218_0000
2022-02-21 00:00:00+05:30,147.9,148.25,144.6,145.95,14870901,20220221,0000,20220221_0000
2022-02-22 00:00:00+05:30,144.25,145.4,140.25,144.65,11654816,20220222,0000,20220222_0000
2022-02-23 00:00:00+05:30,145.1,147.05,142.95,143.25,7627472,20220223,0000,20220223_0000
2022-02-24 00:00:00+05:30,138.75,141.55,133.75,134.75,12115340,20220224,0000,20220224_0000
2022-02-25 00:00:00+05:30,137.0,149.65,137.0,148.2,17079977,20220225,0000,20220225_0000
2022-02-28 00:00:00+05:30,147.2,154.7,145.3,154.3,20872239,20220228,0000,20220228_0000
2022-03-02 00:00:00+05:30,155.75,170.4,155.75,169.55,72648396,20220302,0000,20220302_0000
2022-03-03 00:00:00+05:30,174.35,182.5,171.6,173.7,74050073,20220303,0000,20220303_0000
2022-03-04 00:00:00+05:30,173.7,175.75,165.25,165.75,36095156,20220304,0000,20220304_0000
2022-03-07 00:00:00+05:30,170.7,176.75,166.45,173.45,41642776,20220307,0000,20220307_0000
2022-03-08 00:00:00+05:30,173.75,176.45,171.35,173.9,22940456,20220308,0000,20220308_0000
2022-03-09 00:00:00+05:30,174.75,175.35,170.35,171.4,13870658,20220309,0000,20220309_0000
2022-03-10 00:00:00+05:30,168.75,168.75,161.8,163.7,30890343,20220310,0000,20220310_0000
2022-03-11 00:00:00+05:30,165.75,167.25,164.0,166.5,14663558,20220311,0000,20220311_0000
2022-03-14 00:00:00+05:30,165.75,166.9,162.6,165.1,8306420,20220314,0000,20220314_0000
2022-03-15 00:00:00+05:30,164.65,164.75,156.25,157.65,14074860,20220315,0000,20220315_0000
2022-03-16 00:00:00+05:30,157.75,162.55,157.65,161.65,11846738,20220316,0000,20220316_0000
2022-03-17 00:00:00+05:30,163.75,164.75,160.25,161.3,20052773,20220317,0000,20220317_0000
2022-03-21 00:00:00+05:30,162.6,171.1,162.25,167.05,20271556,20220321,0000,20220321_0000
2022-03-22 00:00:00+05:30,168.4,170.55,165.25,168.1,12372751,20220322,0000,20220322_0000
2022-03-23 00:00:00+05:30,167.35,169.0,164.05,167.8,13731315,20220323,0000,20220323_0000
2022-03-24 00:00:00+05:30,168.45,173.25,168.05,172.15,16323203,20220324,0000,20220324_0000
2022-03-25 00:00:00+05:30,172.15,173.65,169.35,170.85,10044811,20220325,0000,20220325_0000
2022-03-28 00:00:00+05:30,170.85,178.45,170.25,176.0,19132062,20220328,0000,20220328_0000
2022-03-29 00:00:00+05:30,176.75,176.95,170.25,170.75,10622472,20220329,0000,20220329_0000
2022-03-30 00:00:00+05:30,172.7,172.7,166.75,167.65,10298319,20220330,0000,20220330_0000
2022-03-31 00:00:00+05:30,168.9,169.65,166.4,167.8,9435203,20220331,0000,20220331_0000
2022-04-01 00:00:00+05:30,168.55,172.0,168.05,170.9,13505929,20220401,0000,20220401_0000
2022-04-04 00:00:00+05:30,170.25,173.75,169.35,172.5,9490374,20220404,0000,20220404_0000
2022-04-05 00:00:00+05:30,172.75,173.7,171.6,172.65,7637664,20220405,0000,20220405_0000
2022-04-06 00:00:00+05:30,173.45,181.75,173.05,178.6,46157039,20220406,0000,20220406_0000
