date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,1623.3,1660.25,1610.6,1655.0,628964,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,1664.4,1689.8,1651.45,1685.3,895183,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,1678.35,1746.15,1677.35,1740.15,1771250,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,1739.2,1739.2,1703.85,1713.75,1158707,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,1715.2,1799.85,1715.2,1790.55,2905803,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,1802.85,1837.7,1786.5,1831.55,1468480,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,1826.9,1863.6,1813.8,1839.6,1416519,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,1850.6,1870.0,1837.7,1866.6,701250,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,1872.55,1875.55,1842.65,1849.5,844543,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,1852.55,1860.35,1825.1,1849.95,1239492,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,1849.95,1921.35,1838.7,1911.1,1256235,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,1920.3,1922.15,1835.4,1844.9,945496,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,1837.7,1856.5,1789.2,1799.35,809295,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,1809.8,1829.5,1806.4,1823.75,716176,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,1821.75,1821.75,1771.95,1785.0,527053,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,1784.7,1784.7,1677.35,1684.0,1022827,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,1662.0,1719.35,1651.5,1714.5,838000,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,1690.4,1693.25,1653.55,1680.35,817874,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,1693.25,1729.45,1684.35,1690.3,1141606,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,1699.15,1730.1,1695.25,1720.65,513199,20220131,0000,20220131_0000
