date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,1887.75,1914.05,1887.75,1898.45,3329616,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,1898.45,1906.65,1878.0,1899.15,3921999,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,1900.0,1902.9,1840.0,1844.65,6995719,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,1828.0,1828.0,1800.0,1817.8,6449205,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,1815.45,1836.0,1806.8,1814.3,4834389,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,1815.0,1869.9,1813.0,1850.75,7857560,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,1855.0,1870.0,1850.15,1855.6,5142287,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,1868.9,1889.0,1860.0,1877.45,5362535,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,1905.0,1912.5,1866.35,1896.8,14277630,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,1882.0,1933.0,1881.0,1929.35,7688506,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,1938.55,1953.9,1930.5,1939.5,5262464,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,1922.1,1945.0,1911.45,1920.75,3690315,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,1916.0,1916.0,1862.85,1867.05,5747770,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,1844.0,1848.0,1815.5,1823.7,5533463,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,1795.0,1808.0,1776.0,1785.7,8252758,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,1765.0,1768.65,1728.0,1736.8,7116712,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,1726.6,1740.0,1700.5,1722.15,9137653,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,1702.0,1709.7,1665.0,1678.6,11231734,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,1681.0,1727.55,1679.5,1686.2,10998502,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,1718.0,1749.5,1715.35,1736.2,8788872,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,1766.1,1780.0,1734.7,1772.05,5119935,20220201,0000,20220201_0000
2022-02-02 00:00:00+05:30,1789.0,1792.8,1772.0,1787.1,4253717,20220202,0000,20220202_0000
2022-02-03 00:00:00+05:30,1779.0,1779.0,1734.0,1738.55,3832922,20220203,0000,20220203_0000
2022-02-04 00:00:00+05:30,1732.0,1753.95,1710.15,1741.1,4700077,20220204,0000,20220204_0000
2022-02-07 00:00:00+05:30,1722.2,1732.0,1695.4,1715.0,4310209,20220207,0000,20220207_0000
2022-02-08 00:00:00+05:30,1710.0,1725.0,1696.0,1717.3,6053401,20220208,0000,20220208_0000
2022-02-09 00:00:00+05:30,1735.0,1743.0,1725.0,1737.3,3867244,20220209,0000,20220209_0000
2022-02-10 00:00:00+05:30,1755.65,1773.9,1748.75,1769.6,4334630,20220210,0000,20220210_0000
2022-02-11 00:00:00+05:30,1740.0,1745.95,1713.0,1721.35,7551371,20220211,0000,20220211_0000
2022-02-14 00:00:00+05:30,1690.0,1718.55,1678.25,1682.2,7459637,20220214,0000,20220214_0000
2022-02-15 00:00:00+05:30,1699.0,1746.75,1690.45,1738.25,4669915,20220215,0000,20220215_0000
2022-02-16 00:00:00+05:30,1738.25,1755.45,1726.85,1733.3,5350642,20220216,0000,20220216_0000
2022-02-17 00:00:00+05:30,1744.0,1749.0,1720.3,1724.8,3937950,20220217,0000,20220217_0000
2022-02-18 00:00:00+05:30,1710.0,1722.5,1703.5,1706.95,5602215,20220218,0000,20220218_0000
2022-02-21 00:00:00+05:30,1701.0,1737.3,1691.5,1730.7,5120890,20220221,0000,20220221_0000
2022-02-22 00:00:00+05:30,1699.9,1751.0,1691.05,1734.35,8878515,20220222,0000,20220222_0000
