date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,7420.0,7605.95,7420.0,7523.9,456599,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,7600.0,7649.0,7520.0,7630.1,495182,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,7624.85,7808.0,7605.6,7775.35,710043,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,7782.0,7899.45,7683.95,7882.1,739981,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,7882.1,7944.8,7835.5,7906.0,523116,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,7950.0,8232.0,7924.15,8125.6,827930,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,8100.0,8162.45,8069.3,8143.85,688923,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,8200.0,8200.0,8115.0,8170.75,288174,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,8175.0,8260.0,7952.0,8077.05,684931,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,7951.0,8145.0,7951.0,8084.2,299536,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,8124.8,8368.9,8100.1,8265.5,862249,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,8248.95,8248.95,7891.5,7915.15,785199,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,7929.0,8060.0,7860.0,8015.7,681632,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,8000.0,8140.0,7997.55,8036.35,522850,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,7970.0,8244.0,7856.05,8189.6,1041476,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,8189.0,8332.8,7952.8,8052.3,1153538,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,7990.0,8664.0,7887.9,8602.6,2162832,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,8656.0,8971.65,8400.05,8820.2,2899559,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,8795.0,8930.0,8522.35,8550.95,1045088,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,8625.0,8720.0,8552.8,8597.3,561419,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,8693.0,8790.8,8351.0,8559.4,819689,20220201,0000,20220201_0000
2022-02-02 00:00:00+05:30,8579.7,8683.0,8440.25,8515.25,580433,20220202,0000,20220202_0000
2022-02-03 00:00:00+05:30,8550.0,8798.0,8522.7,8593.65,810019,20220203,0000,20220203_0000
2022-02-04 00:00:00+05:30,8639.9,8680.0,8492.1,8550.55,404421,20220204,0000,20220204_0000
2022-02-07 00:00:00+05:30,8545.0,8615.0,8400.0,8511.65,446099,20220207,0000,20220207_0000
2022-02-08 00:00:00+05:30,8616.7,8789.1,8436.05,8599.45,998182,20220208,0000,20220208_0000
2022-02-09 00:00:00+05:30,8622.0,8989.8,8622.0,8949.45,1403525,20220209,0000,20220209_0000
2022-02-10 00:00:00+05:30,9050.0,9050.0,8789.9,8805.45,811887,20220210,0000,20220210_0000
2022-02-11 00:00:00+05:30,8738.0,8865.0,8673.3,8737.15,671572,20220211,0000,20220211_0000
2022-02-14 00:00:00+05:30,8500.0,8615.05,8325.0,8366.4,995540,20220214,0000,20220214_0000
2022-02-15 00:00:00+05:30,8410.0,8664.25,8356.5,8622.7,682766,20220215,0000,20220215_0000
2022-02-16 00:00:00+05:30,8720.0,8736.4,8544.0,8582.95,422704,20220216,0000,20220216_0000
2022-02-17 00:00:00+05:30,8575.0,8658.3,8525.0,8552.45,305313,20220217,0000,20220217_0000
2022-02-18 00:00:00+05:30,8550.0,8645.95,8520.05,8569.1,385273,20220218,0000,20220218_0000
2022-02-21 00:00:00+05:30,8544.05,8724.25,8443.6,8612.7,626049,20220221,0000,20220221_0000
2022-02-22 00:00:00+05:30,8495.0,8659.8,8384.85,8622.8,620828,20220222,0000,20220222_0000
2022-02-23 00:00:00+05:30,8690.0,8789.95,8655.2,8698.85,557954,20220223,0000,20220223_0000
2022-02-24 00:00:00+05:30,8402.0,8587.25,8155.0,8210.15,947351,20220224,0000,20220224_0000
2022-02-25 00:00:00+05:30,8260.0,8466.0,8209.55,8356.1,1344343,20220225,0000,20220225_0000
2022-02-28 00:00:00+05:30,8300.0,8339.95,8114.1,8314.15,961303,20220228,0000,20220228_0000
2022-03-02 00:00:00+05:30,8197.7,8199.0,7764.0,7814.2,1783011,20220302,0000,20220302_0000
2022-03-03 00:00:00+05:30,7924.0,7939.95,7558.5,7595.55,1050154,20220303,0000,20220303_0000
2022-03-04 00:00:00+05:30,7482.0,7519.2,7130.0,7247.3,2511658,20220304,0000,20220304_0000
2022-03-07 00:00:00+05:30,6992.0,7029.85,6730.0,6769.05,2469925,20220307,0000,20220307_0000
2022-03-08 00:00:00+05:30,6705.0,6855.0,6536.55,6806.3,2840376,20220308,0000,20220308_0000
2022-03-09 00:00:00+05:30,6874.0,7078.1,6777.0,7026.85,1827539,20220309,0000,20220309_0000
2022-03-10 00:00:00+05:30,7255.0,7399.85,7177.3,7211.8,1535070,20220310,0000,20220310_0000
2022-03-11 00:00:00+05:30,7200.0,7200.0,7080.0,7102.55,1024452,20220311,0000,20220311_0000
2022-03-14 00:00:00+05:30,7050.0,7335.0,7012.0,7316.75,1023874,20220314,0000,20220314_0000
2022-03-15 00:00:00+05:30,7321.0,7620.0,7318.0,7420.1,1586111,20220315,0000,20220315_0000
