date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,835.0,840.0,826.3,829.8,1537088,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,837.95,842.0,825.65,831.85,1886453,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,830.0,847.0,830.0,839.5,2634010,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,839.0,842.25,827.5,839.85,2962301,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,841.0,849.75,822.5,829.0,2531717,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,835.95,846.75,829.7,841.95,3403434,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,842.0,848.75,835.55,841.4,2117911,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,846.8,884.2,842.5,880.55,9022415,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,880.55,909.5,868.0,896.0,5658001,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,889.8,895.95,879.65,881.2,2027852,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,884.2,904.0,882.65,900.8,3617269,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,902.0,910.1,888.3,892.15,3468168,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,908.95,908.95,880.8,894.4,4215758,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,896.0,897.6,872.85,880.5,2486026,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,875.8,884.9,865.2,875.2,1872843,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,871.2,878.35,848.05,854.7,3386669,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,846.1,858.25,845.25,854.5,4742388,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,845.6,862.85,841.2,858.05,2927566,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,864.4,896.0,860.4,869.65,4208702,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,878.9,888.85,872.1,885.8,2335040,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,892.0,894.7,864.2,869.7,2921070,20220201,0000,20220201_0000
2022-02-02 00:00:00+05:30,875.7,880.3,865.15,869.35,1341479,20220202,0000,20220202_0000
2022-02-03 00:00:00+05:30,868.0,882.4,852.15,856.2,2630289,20220203,0000,20220203_0000
2022-02-04 00:00:00+05:30,861.4,861.4,836.15,841.7,2080640,20220204,0000,20220204_0000
2022-02-07 00:00:00+05:30,841.0,844.7,822.2,829.5,1801701,20220207,0000,20220207_0000
2022-02-08 00:00:00+05:30,830.0,837.7,817.15,832.05,2729631,20220208,0000,20220208_0000
2022-02-09 00:00:00+05:30,838.0,845.95,833.15,840.2,2165223,20220209,0000,20220209_0000
2022-02-10 00:00:00+05:30,844.0,857.75,830.15,853.05,6949276,20220210,0000,20220210_0000
