date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,845.0,860.05,840.9,848.95,3726756,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,852.5,854.0,832.4,837.7,3027262,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,840.0,844.55,830.65,835.1,2436343,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,837.8,844.9,822.0,829.6,2423850,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,829.6,836.0,825.2,828.95,1475374,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,832.1,835.0,817.55,826.7,4837873,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,830.9,841.5,828.3,832.4,4950526,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,845.0,845.0,827.5,836.2,3953446,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,836.2,871.0,834.25,865.5,7395140,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,865.5,868.9,856.8,859.75,2351963,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,859.75,863.4,850.5,853.2,1750754,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,855.0,867.2,845.0,846.7,3354708,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,848.0,848.0,834.0,838.5,1677779,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,839.3,842.75,815.65,820.0,2886894,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,816.5,819.7,801.1,808.75,3218477,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,804.0,825.0,791.6,800.85,5300160,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,791.0,811.7,784.8,808.05,3779497,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,802.0,817.4,791.3,812.1,3593525,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,816.0,842.9,812.1,827.35,5073701,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,830.1,849.75,820.05,834.5,8041517,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,847.4,895.0,839.85,891.75,12337459,20220201,0000,20220201_0000
2022-02-02 00:00:00+05:30,890.0,898.45,882.0,890.65,4404741,20220202,0000,20220202_0000
2022-02-03 00:00:00+05:30,889.35,891.2,880.45,883.55,2292825,20220203,0000,20220203_0000
2022-02-04 00:00:00+05:30,882.9,902.85,881.35,893.95,4222492,20220204,0000,20220204_0000
2022-02-07 00:00:00+05:30,901.45,901.45,879.7,887.05,3494623,20220207,0000,20220207_0000
2022-02-08 00:00:00+05:30,886.0,895.95,882.0,894.1,4766558,20220208,0000,20220208_0000
2022-02-09 00:00:00+05:30,893.9,894.55,885.35,886.45,2874380,20220209,0000,20220209_0000
2022-02-10 00:00:00+05:30,891.4,896.25,880.0,894.3,3159839,20220210,0000,20220210_0000
2022-02-11 00:00:00+05:30,894.6,895.8,874.65,880.1,2682532,20220211,0000,20220211_0000
2022-02-14 00:00:00+05:30,870.0,886.65,862.2,864.85,5163415,20220214,0000,20220214_0000
2022-02-15 00:00:00+05:30,862.5,880.0,859.05,876.8,3219287,20220215,0000,20220215_0000
2022-02-16 00:00:00+05:30,876.0,881.15,867.1,868.85,2136415,20220216,0000,20220216_0000
2022-02-17 00:00:00+05:30,872.35,872.35,861.3,862.55,2275289,20220217,0000,20220217_0000
2022-02-18 00:00:00+05:30,862.55,867.9,856.4,862.9,1797851,20220218,0000,20220218_0000
2022-02-21 00:00:00+05:30,855.5,864.0,839.5,843.85,2305713,20220221,0000,20220221_0000
2022-02-22 00:00:00+05:30,836.0,849.0,824.6,845.8,3171552,20220222,0000,20220222_0000
2022-02-23 00:00:00+05:30,849.85,853.0,838.05,840.25,1979574,20220223,0000,20220223_0000
2022-02-24 00:00:00+05:30,830.6,836.95,815.0,818.25,3679222,20220224,0000,20220224_0000
2022-02-25 00:00:00+05:30,820.5,835.0,817.05,831.55,2098988,20220225,0000,20220225_0000
2022-02-28 00:00:00+05:30,821.0,847.0,821.0,843.9,4123139,20220228,0000,20220228_0000
2022-03-02 00:00:00+05:30,844.35,844.95,815.7,820.9,3807036,20220302,0000,20220302_0000
2022-03-03 00:00:00+05:30,832.8,832.8,817.0,820.9,2657776,20220303,0000,20220303_0000
