date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2022-01-03 00:00:00+05:30,718.0,726.8,716.0,718.7,4640405,20220103,0000,20220103_0000
2022-01-04 00:00:00+05:30,722.75,723.1,711.55,721.5,5114400,20220104,0000,20220104_0000
2022-01-05 00:00:00+05:30,720.0,720.85,703.0,713.5,7355632,20220105,0000,20220105_0000
2022-01-06 00:00:00+05:30,705.8,712.25,699.95,705.75,6441610,20220106,0000,20220106_0000
2022-01-07 00:00:00+05:30,708.0,721.5,707.6,711.5,6560163,20220107,0000,20220107_0000
2022-01-10 00:00:00+05:30,709.0,709.0,690.0,693.5,13768910,20220110,0000,20220110_0000
2022-01-11 00:00:00+05:30,695.0,698.45,689.0,694.15,7743729,20220111,0000,20220111_0000
2022-01-12 00:00:00+05:30,700.0,701.75,683.2,691.35,11730341,20220112,0000,20220112_0000
2022-01-13 00:00:00+05:30,663.2,666.0,648.0,649.75,30752967,20220113,0000,20220113_0000
2022-01-14 00:00:00+05:30,649.25,649.25,636.5,639.8,13257274,20220114,0000,20220114_0000
2022-01-17 00:00:00+05:30,639.5,651.65,633.05,646.65,10228938,20220117,0000,20220117_0000
2022-01-18 00:00:00+05:30,648.9,650.0,631.15,633.3,7164990,20220118,0000,20220118_0000
2022-01-19 00:00:00+05:30,631.0,631.65,619.0,621.15,8691383,20220119,0000,20220119_0000
2022-01-20 00:00:00+05:30,620.65,622.4,610.5,615.2,8413562,20220120,0000,20220120_0000
2022-01-21 00:00:00+05:30,610.0,611.0,600.8,605.05,9823347,20220121,0000,20220121_0000
2022-01-24 00:00:00+05:30,605.5,605.5,568.45,572.75,13075358,20220124,0000,20220124_0000
2022-01-25 00:00:00+05:30,562.5,572.0,550.7,562.7,17356185,20220125,0000,20220125_0000
2022-01-27 00:00:00+05:30,555.0,556.9,537.2,544.75,15675872,20220127,0000,20220127_0000
2022-01-28 00:00:00+05:30,550.1,564.95,546.65,552.15,14949890,20220128,0000,20220128_0000
2022-01-31 00:00:00+05:30,569.0,574.4,562.55,572.6,13126087,20220131,0000,20220131_0000
2022-02-01 00:00:00+05:30,579.9,582.4,566.45,576.65,10460101,20220201,0000,20220201_0000
