date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 00:00:00+05:30,565.0,571.4,561.25,570.3,841928,20230102,0000,20230102_0000
2023-01-03 00:00:00+05:30,570.0,600.0,569.5,595.6,10096217,20230103,0000,20230103_0000
2023-01-04 00:00:00+05:30,599.0,609.9,595.0,598.6,7722662,20230104,0000,20230104_0000
2023-01-05 00:00:00+05:30,600.0,612.4,598.0,609.45,5704967,20230105,0000,20230105_0000
2023-01-06 00:00:00+05:30,608.0,620.6,605.65,611.65,5415866,20230106,0000,20230106_0000
2023-01-09 00:00:00+05:30,615.05,618.05,601.75,608.45,3969535,20230109,0000,20230109_0000
2023-01-10 00:00:00+05:30,608.5,613.05,599.55,600.2,4073524,20230110,0000,20230110_0000
2023-01-11 00:00:00+05:30,600.0,605.55,594.35,599.85,3576811,20230111,0000,20230111_0000
2023-01-12 00:00:00+05:30,602.45,605.8,594.6,598.4,2358813,20230112,0000,20230112_0000
2023-01-13 00:00:00+05:30,599.45,607.6,596.35,604.5,3272285,20230113,0000,20230113_0000
2023-01-16 00:00:00+05:30,605.0,612.6,599.85,604.2,2170216,20230116,0000,20230116_0000
2023-01-17 00:00:00+05:30,607.0,610.6,601.2,609.45,1807515,20230117,0000,20230117_0000
2023-01-18 00:00:00+05:30,610.0,610.05,598.45,601.05,3291651,20230118,0000,20230118_0000
2023-01-19 00:00:00+05:30,601.15,611.0,600.75,605.25,3615736,20230119,0000,20230119_0000
2023-01-20 00:00:00+05:30,608.0,608.4,588.25,590.55,4255202,20230120,0000,20230120_0000
2023-01-23 00:00:00+05:30,595.0,596.45,585.2,589.2,3884783,20230123,0000,20230123_0000
2023-01-24 00:00:00+05:30,591.0,594.75,588.15,589.55,2219052,20230124,0000,20230124_0000
2023-01-25 00:00:00+05:30,590.0,591.75,580.1,585.05,1443501,20230125,0000,20230125_0000
2023-01-27 00:00:00+05:30,586.45,593.9,578.05,587.7,3632289,20230127,0000,20230127_0000
2023-01-30 00:00:00+05:30,586.8,592.35,583.3,587.95,2843943,20230130,0000,20230130_0000
2023-01-31 00:00:00+05:30,587.95,589.5,572.95,578.85,3073978,20230131,0000,20230131_0000
2023-02-01 00:00:00+05:30,582.9,584.65,502.35,515.7,22671272,20230201,0000,20230201_0000
2023-02-02 00:00:00+05:30,499.0,505.25,483.05,492.7,17269387,20230202,0000,20230202_0000
2023-02-03 00:00:00+05:30,496.0,499.0,481.0,488.9,10593983,20230203,0000,20230203_0000
2023-02-06 00:00:00+05:30,487.0,489.75,473.7,482.05,7441590,20230206,0000,20230206_0000
2023-02-07 00:00:00+05:30,483.9,491.5,482.0,482.95,7117626,20230207,0000,20230207_0000
2023-02-08 00:00:00+05:30,484.8,510.3,483.5,508.55,10571918,20230208,0000,20230208_0000
2023-02-09 00:00:00+05:30,508.55,522.7,502.2,518.65,9516815,20230209,0000,20230209_0000
2023-02-10 00:00:00+05:30,519.8,528.4,518.3,522.55,7239045,20230210,0000,20230210_0000
2023-02-13 00:00:00+05:30,522.55,526.0,512.15,514.5,3063664,20230213,0000,20230213_0000
2023-02-14 00:00:00+05:30,515.4,517.45,507.65,512.05,2233957,20230214,0000,20230214_0000
2023-02-15 00:00:00+05:30,510.75,520.0,509.65,519.1,2497424,20230215,0000,20230215_0000
2023-02-16 00:00:00+05:30,519.0,522.0,512.7,514.6,1983991,20230216,0000,20230216_0000
2023-02-17 00:00:00+05:30,514.55,514.55,501.5,504.25,4312084,20230217,0000,20230217_0000
2023-02-20 00:00:00+05:30,506.3,522.75,500.25,507.95,6129396,20230220,0000,20230220_0000
2023-02-21 00:00:00+05:30,510.9,514.8,500.05,501.05,2669387,20230221,0000,20230221_0000
2023-02-22 00:00:00+05:30,500.6,501.75,492.5,494.45,2728046,20230222,0000,20230222_0000
2023-02-23 00:00:00+05:30,494.45,494.95,486.15,486.85,4158416,20230223,0000,20230223_0000
2023-02-24 00:00:00+05:30,488.5,490.0,482.0,482.85,2436219,20230224,0000,20230224_0000
