date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 00:00:00+05:30,894.0,907.0,894.0,902.45,4315403,20230102,0000,20230102_0000
2023-01-03 00:00:00+05:30,898.5,905.95,896.75,901.35,5846855,20230103,0000,20230103_0000
2023-01-04 00:00:00+05:30,899.0,907.9,894.8,899.1,12454582,20230104,0000,20230104_0000
2023-01-05 00:00:00+05:30,900.9,903.0,872.0,879.15,16547196,20230105,0000,20230105_0000
2023-01-06 00:00:00+05:30,878.95,878.95,860.5,870.1,14804613,20230106,0000,20230106_0000
2023-01-09 00:00:00+05:30,874.25,878.75,862.3,873.35,16811853,20230109,0000,20230109_0000
2023-01-10 00:00:00+05:30,875.4,878.4,856.6,861.35,13470142,20230110,0000,20230110_0000
2023-01-11 00:00:00+05:30,862.9,870.85,854.85,866.3,15558460,20230111,0000,20230111_0000
2023-01-12 00:00:00+05:30,865.5,869.35,854.95,860.65,16659001,20230112,0000,20230112_0000
2023-01-13 00:00:00+05:30,864.7,874.9,858.3,873.45,11223103,20230113,0000,20230113_0000
2023-01-16 00:00:00+05:30,877.25,877.45,861.05,865.25,8319812,20230116,0000,20230116_0000
2023-01-17 00:00:00+05:30,866.95,867.95,858.1,865.15,12624859,20230117,0000,20230117_0000
2023-01-18 00:00:00+05:30,864.45,872.0,858.65,869.5,11313898,20230118,0000,20230118_0000
2023-01-19 00:00:00+05:30,868.0,870.55,862.0,866.15,6694679,20230119,0000,20230119_0000
2023-01-20 00:00:00+05:30,873.5,876.5,865.55,870.35,8127162,20230120,0000,20230120_0000
2023-01-23 00:00:00+05:30,882.0,883.3,864.6,871.7,16882379,20230123,0000,20230123_0000
2023-01-24 00:00:00+05:30,879.0,881.7,868.0,870.75,11504090,20230124,0000,20230124_0000
2023-01-25 00:00:00+05:30,873.3,876.8,848.0,855.3,14918485,20230125,0000,20230125_0000
2023-01-27 00:00:00+05:30,839.15,843.0,813.1,817.2,39718683,20230127,0000,20230127_0000
2023-01-30 00:00:00+05:30,800.0,826.25,796.0,823.5,36301441,20230130,0000,20230130_0000
2023-01-31 00:00:00+05:30,826.0,838.3,814.1,831.9,27291226,20230131,0000,20230131_0000
2023-02-01 00:00:00+05:30,843.45,875.2,823.15,847.95,39237711,20230201,0000,20230201_0000
2023-02-02 00:00:00+05:30,828.4,860.6,826.1,857.9,16798190,20230202,0000,20230202_0000
2023-02-03 00:00:00+05:30,864.65,872.65,852.1,863.8,14914366,20230203,0000,20230203_0000
2023-02-06 00:00:00+05:30,861.5,867.8,849.65,853.7,8463833,20230206,0000,20230206_0000
2023-02-07 00:00:00+05:30,855.0,856.0,847.2,852.75,9337066,20230207,0000,20230207_0000
2023-02-08 00:00:00+05:30,852.5,860.7,851.9,859.1,8082983,20230208,0000,20230208_0000
2023-02-09 00:00:00+05:30,858.5,864.9,851.6,860.8,6299265,20230209,0000,20230209_0000
2023-02-10 00:00:00+05:30,855.55,861.9,852.0,853.85,8656405,20230210,0000,20230210_0000
2023-02-13 00:00:00+05:30,853.4,859.3,849.35,850.65,9394365,20230213,0000,20230213_0000
2023-02-14 00:00:00+05:30,853.9,867.3,852.1,865.3,13402934,20230214,0000,20230214_0000
2023-02-15 00:00:00+05:30,866.4,873.25,860.6,870.8,12070288,20230215,0000,20230215_0000
2023-02-16 00:00:00+05:30,875.95,877.8,864.85,869.45,10715685,20230216,0000,20230216_0000
2023-02-17 00:00:00+05:30,867.55,867.55,855.15,862.65,9990618,20230217,0000,20230217_0000
2023-02-20 00:00:00+05:30,862.65,866.55,850.25,852.1,9013430,20230220,0000,20230220_0000
2023-02-21 00:00:00+05:30,854.4,859.45,846.85,854.2,11704445,20230221,0000,20230221_0000
2023-02-22 00:00:00+05:30,851.25,854.1,834.75,839.25,13880984,20230222,0000,20230222_0000
2023-02-23 00:00:00+05:30,836.55,844.45,833.55,839.75,11743574,20230223,0000,20230223_0000
