date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 00:00:00+05:30,141.55,145.05,141.5,144.7,9631496,20230102,0000,20230102_0000
2023-01-03 00:00:00+05:30,143.95,144.85,142.25,143.8,14991139,20230103,0000,20230103_0000
2023-01-04 00:00:00+05:30,143.05,143.1,139.25,140.5,13535874,20230104,0000,20230104_0000
2023-01-05 00:00:00+05:30,140.1,141.25,138.4,140.75,16320559,20230105,0000,20230105_0000
2023-01-06 00:00:00+05:30,140.95,142.35,140.55,141.6,16804116,20230106,0000,20230106_0000
2023-01-09 00:00:00+05:30,143.55,144.45,142.05,142.4,18660445,20230109,0000,20230109_0000
2023-01-10 00:00:00+05:30,142.85,144.55,142.85,143.6,18490715,20230110,0000,20230110_0000
2023-01-11 00:00:00+05:30,143.75,144.25,140.5,141.05,12538238,20230111,0000,20230111_0000
2023-01-12 00:00:00+05:30,141.95,142.5,140.0,140.4,13270422,20230112,0000,20230112_0000
2023-01-13 00:00:00+05:30,140.65,141.75,140.15,141.2,8854484,20230113,0000,20230113_0000
2023-01-16 00:00:00+05:30,141.95,142.05,140.25,141.85,9696320,20230116,0000,20230116_0000
2023-01-17 00:00:00+05:30,142.55,143.25,140.9,142.1,18484595,20230117,0000,20230117_0000
2023-01-18 00:00:00+05:30,142.5,144.0,142.45,143.5,12139643,20230118,0000,20230118_0000
2023-01-19 00:00:00+05:30,142.3,146.35,142.3,146.0,18437610,20230119,0000,20230119_0000
2023-01-20 00:00:00+05:30,146.25,146.75,144.8,145.85,17512691,20230120,0000,20230120_0000
2023-01-23 00:00:00+05:30,146.8,147.35,145.6,146.6,16742252,20230123,0000,20230123_0000
2023-01-24 00:00:00+05:30,146.6,147.45,145.85,146.4,8276792,20230124,0000,20230124_0000
2023-01-25 00:00:00+05:30,145.5,147.65,145.4,146.7,9827342,20230125,0000,20230125_0000
2023-01-27 00:00:00+05:30,146.7,148.4,140.85,141.9,13052535,20230127,0000,20230127_0000
2023-01-30 00:00:00+05:30,141.75,143.1,137.5,139.15,12688399,20230130,0000,20230130_0000
2023-01-31 00:00:00+05:30,139.4,142.15,138.5,139.15,19050398,20230131,0000,20230131_0000
2023-02-01 00:00:00+05:30,140.05,140.25,136.6,138.5,11526089,20230201,0000,20230201_0000
2023-02-02 00:00:00+05:30,137.25,139.25,134.9,137.7,11886667,20230202,0000,20230202_0000
2023-02-03 00:00:00+05:30,137.75,139.6,134.35,138.55,9250428,20230203,0000,20230203_0000
2023-02-06 00:00:00+05:30,135.95,138.45,135.85,137.75,6436143,20230206,0000,20230206_0000
2023-02-07 00:00:00+05:30,138.15,139.2,136.45,138.9,8681511,20230207,0000,20230207_0000
