date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 00:00:00+05:30,114.4,119.7,113.75,119.25,143444095,20230102,0000,20230102_0000
2023-01-03 00:00:00+05:30,119.8,120.5,117.75,118.45,74419090,20230103,0000,20230103_0000
2023-01-04 00:00:00+05:30,118.75,119.05,115.35,115.75,55634568,20230104,0000,20230104_0000
2023-01-05 00:00:00+05:30,116.5,117.0,114.5,116.55,58806907,20230105,0000,20230105_0000
2023-01-06 00:00:00+05:30,117.0,117.85,115.25,115.65,58551863,20230106,0000,20230106_0000
2023-01-09 00:00:00+05:30,116.9,118.1,116.55,117.55,37763131,20230109,0000,20230109_0000
2023-01-10 00:00:00+05:30,117.65,119.75,117.55,118.85,56750710,20230110,0000,20230110_0000
2023-01-11 00:00:00+05:30,119.45,120.35,118.0,118.85,49321252,20230111,0000,20230111_0000
2023-01-12 00:00:00+05:30,118.95,119.25,117.6,118.1,33740024,20230112,0000,20230112_0000
2023-01-13 00:00:00+05:30,118.55,121.6,118.15,120.45,68884010,20230113,0000,20230113_0000
2023-01-16 00:00:00+05:30,121.45,121.45,118.8,119.95,44362359,20230116,0000,20230116_0000
2023-01-17 00:00:00+05:30,119.75,119.9,118.0,119.35,27880531,20230117,0000,20230117_0000
2023-01-18 00:00:00+05:30,120.0,123.0,120.0,122.45,64749065,20230118,0000,20230118_0000
2023-01-19 00:00:00+05:30,121.8,124.3,121.15,123.55,53564076,20230119,0000,20230119_0000
2023-01-20 00:00:00+05:30,123.4,124.2,122.0,122.95,37784498,20230120,0000,20230120_0000
2023-01-23 00:00:00+05:30,123.4,123.85,121.5,122.0,28601260,20230123,0000,20230123_0000
2023-01-24 00:00:00+05:30,122.5,122.55,120.1,120.4,27707765,20230124,0000,20230124_0000
2023-01-25 00:00:00+05:30,120.35,122.25,120.1,121.0,46522102,20230125,0000,20230125_0000
2023-01-27 00:00:00+05:30,121.9,123.25,119.1,120.65,58771746,20230127,0000,20230127_0000
2023-01-30 00:00:00+05:30,120.45,121.1,116.9,118.75,46551837,20230130,0000,20230130_0000
