date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 09:15:00+05:30,167.05,167.4,166.5,166.7,58493,20230102,0915,20230102_0915
2023-01-02 09:16:00+05:30,166.75,166.95,166.7,166.9,55259,20230102,0916,20230102_0916
2023-01-02 09:17:00+05:30,166.9,167.0,166.4,166.7,31621,20230102,0917,20230102_0917
2023-01-02 09:18:00+05:30,166.6,166.9,166.5,166.75,20087,20230102,0918,20230102_0918
2023-01-02 09:19:00+05:30,166.75,167.15,166.7,166.75,32574,20230102,0919,20230102_0919
2023-01-02 09:20:00+05:30,166.8,167.05,166.5,167.0,36059,20230102,0920,20230102_0920
2023-01-02 09:21:00+05:30,167.0,167.25,167.0,167.1,21380,20230102,0921,20230102_0921
2023-01-02 09:22:00+05:30,167.1,167.1,166.9,166.9,12730,20230102,0922,20230102_0922
2023-01-02 09:23:00+05:30,167.0,167.05,166.9,166.95,3478,20230102,0923,20230102_0923
2023-01-02 09:24:00+05:30,166.95,167.0,166.8,166.8,11674,20230102,0924,20230102_0924
2023-01-02 09:25:00+05:30,166.9,166.95,166.8,166.8,3588,20230102,0925,20230102_0925
2023-01-02 09:26:00+05:30,166.8,166.95,166.75,166.85,3673,20230102,0926,20230102_0926
2023-01-02 09:27:00+05:30,166.75,166.85,166.7,166.85,1651,20230102,0927,20230102_0927
2023-01-02 09:28:00+05:30,166.85,166.95,166.8,166.95,4120,20230102,0928,20230102_0928
2023-01-02 09:29:00+05:30,166.95,166.95,166.75,166.95,2595,20230102,0929,20230102_0929
2023-01-02 09:30:00+05:30,166.85,167.05,166.85,166.85,26381,20230102,0930,20230102_0930
2023-01-02 09:31:00+05:30,166.95,167.05,166.85,167.0,6583,20230102,0931,20230102_0931
2023-01-02 09:32:00+05:30,167.0,167.05,166.8,166.8,7532,20230102,0932,20230102_0932
2023-01-02 09:33:00+05:30,166.8,167.0,166.75,166.95,8063,20230102,0933,20230102_0933
2023-01-02 09:34:00+05:30,166.9,167.1,166.9,166.95,10713,20230102,0934,20230102_0934
2023-01-02 09:35:00+05:30,166.95,167.1,166.9,167.0,4752,20230102,0935,20230102_0935
2023-01-02 09:36:00+05:30,167.0,167.25,166.95,167.05,29217,20230102,0936,20230102_0936
2023-01-02 09:37:00+05:30,167.05,167.15,167.05,167.15,2330,20230102,0937,20230102_0937
2023-01-02 09:38:00+05:30,167.1,167.15,167.0,167.05,6128,20230102,0938,20230102_0938
2023-01-02 09:39:00+05:30,167.0,167.15,166.95,167.05,27219,20230102,0939,20230102_0939
2023-01-02 09:40:00+05:30,167.05,167.15,166.75,166.8,21425,20230102,0940,20230102_0940
2023-01-02 09:41:00+05:30,166.8,166.85,166.65,166.85,15257,20230102,0941,20230102_0941
2023-01-02 09:42:00+05:30,166.85,166.9,166.8,166.9,2124,20230102,0942,20230102_0942
2023-01-02 09:43:00+05:30,166.9,166.95,166.85,166.9,3492,20230102,0943,20230102_0943
2023-01-02 09:44:00+05:30,166.95,166.95,166.8,166.9,1684,20230102,0944,20230102_0944
2023-01-02 09:45:00+05:30,166.9,166.95,166.85,166.95,5103,20230102,0945,20230102_0945
2023-01-02 09:46:00+05:30,166.95,166.95,166.8,166.95,4242,20230102,0946,20230102_0946
2023-01-02 09:47:00+05:30,166.9,167.0,166.85,167.0,20318,20230102,0947,20230102_0947
2023-01-02 09:48:00+05:30,167.0,167.0,166.9,166.95,28235,20230102,0948,20230102_0948
2023-01-02 09:49:00+05:30,167.0,167.15,166.9,167.05,36205,20230102,0949,20230102_0949
2023-01-02 09:50:00+05:30,167.05,167.2,167.0,167.2,7986,20230102,0950,20230102_0950
2023-01-02 09:51:00+05:30,167.2,167.45,167.05,167.3,43344,20230102,0951,20230102_0951
2023-01-02 09:52:00+05:30,167.3,167.4,167.2,167.3,10182,20230102,0952,20230102_0952
2023-01-02 09:53:00+05:30,167.35,167.4,167.3,167.35,4252,20230102,0953,20230102_0953
2023-01-02 09:54:00+05:30,167.4,167.4,167.3,167.4,5735,20230102,0954,20230102_0954
2023-01-02 09:55:00+05:30,167.4,167.4,167.25,167.35,4059,20230102,0955,20230102_0955
2023-01-02 09:56:00+05:30,167.35,167.4,167.3,167.3,1300,20230102,0956,20230102_0956
2023-01-02 09:57:00+05:30,167.35,167.35,167.25,167.25,16573,20230102,0957,20230102_0957
2023-01-02 09:58:00+05:30,167.3,167.35,167.3,167.35,1256,20230102,0958,20230102_0958
2023-01-02 09:59:00+05:30,167.35,167.4,167.3,167.4,6106,20230102,0959,20230102_0959
2023-01-02 10:00:00+05:30,167.35,167.65,167.35,167.6,30333,20230102,1000,20230102_1000
2023-01-02 10:01:00+05:30,167.6,167.65,167.35,167.45,25787,20230102,1001,20230102_1001
2023-01-02 10:02:00+05:30,167.5,167.5,167.3,167.3,3000,20230102,1002,20230102_1002
2023-01-02 10:03:00+05:30,167.4,167.4,167.3,167.35,2553,20230102,1003,20230102_1003
2023-01-02 10:04:00+05:30,167.35,167.4,167.3,167.4,2402,20230102,1004,20230102_1004
2023-01-02 10:05:00+05:30,167.4,167.6,167.4,167.6,8778,20230102,1005,20230102_1005
2023-01-02 10:06:00+05:30,167.6,167.6,167.5,167.5,7344,20230102,1006,20230102_1006
2023-01-02 10:07:00+05:30,167.5,167.6,167.45,167.55,2606,20230102,1007,20230102_1007
2023-01-02 10:08:00+05:30,167.55,167.55,167.35,167.4,14477,20230102,1008,20230102_1008
2023-01-02 10:09:00+05:30,167.35,167.45,167.35,167.45,6227,20230102,1009,20230102_1009
2023-01-02 10:10:00+05:30,167.4,167.7,167.4,167.7,9310,20230102,1010,20230102_1010
2023-01-02 10:11:00+05:30,167.7,167.75,167.6,167.75,14503,20230102,1011,20230102_1011
2023-01-02 10:12:00+05:30,167.7,167.75,167.55,167.7,7996,20230102,1012,20230102_1012
2023-01-02 10:13:00+05:30,167.7,167.75,167.6,167.75,3563,20230102,1013,20230102_1013
2023-01-02 10:14:00+05:30,167.75,167.95,167.65,167.85,40240,20230102,1014,20230102_1014
2023-01-02 10:15:00+05:30,167.85,168.0,167.8,167.9,9599,20230102,1015,20230102_1015
2023-01-02 10:16:00+05:30,167.95,168.1,167.95,168.05,16866,20230102,1016,20230102_1016
2023-01-02 10:17:00+05:30,168.1,168.35,168.05,168.3,21839,20230102,1017,20230102_1017
2023-01-02 10:18:00+05:30,168.25,168.3,168.0,168.0,33219,20230102,1018,20230102_1018
2023-01-02 10:19:00+05:30,168.05,168.2,167.9,168.05,33680,20230102,1019,20230102_1019
2023-01-02 10:20:00+05:30,168.15,168.5,168.1,168.5,49737,20230102,1020,20230102_1020
2023-01-02 10:21:00+05:30,168.45,168.5,168.3,168.3,22213,20230102,1021,20230102_1021
2023-01-02 10:22:00+05:30,168.45,168.55,168.3,168.5,43185,20230102,1022,20230102_1022
2023-01-02 10:23:00+05:30,168.5,168.5,168.3,168.35,4883,20230102,1023,20230102_1023
2023-01-02 10:24:00+05:30,168.4,168.4,168.3,168.4,15927,20230102,1024,20230102_1024
2023-01-02 10:25:00+05:30,168.4,168.5,168.3,168.5,17483,20230102,1025,20230102_1025
2023-01-02 10:26:00+05:30,168.4,168.45,168.25,168.3,11487,20230102,1026,20230102_1026
2023-01-02 10:27:00+05:30,168.3,168.35,168.2,168.3,10192,20230102,1027,20230102_1027
2023-01-02 10:28:00+05:30,168.35,168.35,168.2,168.2,4310,20230102,1028,20230102_1028
2023-01-02 10:29:00+05:30,168.25,168.3,168.15,168.25,3119,20230102,1029,20230102_1029
2023-01-02 10:30:00+05:30,168.15,168.35,168.15,168.2,6030,20230102,1030,20230102_1030
2023-01-02 10:31:00+05:30,168.2,168.3,168.2,168.25,2214,20230102,1031,20230102_1031
2023-01-02 10:32:00+05:30,168.25,168.3,168.2,168.3,13255,20230102,1032,20230102_1032
2023-01-02 10:33:00+05:30,168.3,168.3,168.15,168.15,9193,20230102,1033,20230102_1033
2023-01-02 10:34:00+05:30,168.15,168.25,168.15,168.25,2621,20230102,1034,20230102_1034
