date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2023-01-02 09:15:00+05:30,1001.4,1001.4,996.2,997.55,8464,20230102,0915,20230102_0915
2023-01-02 09:16:00+05:30,997.55,997.9,996.65,997.25,4068,20230102,0916,20230102_0916
2023-01-02 09:17:00+05:30,996.7,997.4,995.0,997.4,9047,20230102,0917,20230102_0917
2023-01-02 09:18:00+05:30,996.6,996.65,995.0,996.65,5222,20230102,0918,20230102_0918
2023-01-02 09:19:00+05:30,996.1,997.4,995.65,995.95,5274,20230102,0919,20230102_0919
2023-01-02 09:20:00+05:30,995.6,996.9,994.05,995.0,6420,20230102,0920,20230102_0920
2023-01-02 09:21:00+05:30,994.5,996.0,994.45,995.8,2063,20230102,0921,20230102_0921
2023-01-02 09:22:00+05:30,995.2,996.1,995.0,996.05,3591,20230102,0922,20230102_0922
2023-01-02 09:23:00+05:30,995.7,996.1,995.5,995.5,2406,20230102,0923,20230102_0923
2023-01-02 09:24:00+05:30,995.5,995.85,994.3,994.8,4750,20230102,0924,20230102_0924
2023-01-02 09:25:00+05:30,994.8,995.25,994.3,994.3,2408,20230102,0925,20230102_0925
2023-01-02 09:26:00+05:30,994.45,994.5,993.0,993.1,6803,20230102,0926,20230102_0926
2023-01-02 09:27:00+05:30,993.1,993.25,992.0,992.05,6418,20230102,0927,20230102_0927
2023-01-02 09:28:00+05:30,992.45,992.6,991.2,992.15,5118,20230102,0928,20230102_0928
2023-01-02 09:29:00+05:30,991.8,992.95,991.1,992.75,7173,20230102,0929,20230102_0929
2023-01-02 09:30:00+05:30,992.2,992.75,992.1,992.6,2863,20230102,0930,20230102_0930
2023-01-02 09:31:00+05:30,992.2,992.65,991.0,992.35,7328,20230102,0931,20230102_0931
2023-01-02 09:32:00+05:30,992.2,992.2,990.4,990.4,4743,20230102,0932,20230102_0932
2023-01-02 09:33:00+05:30,990.8,991.35,990.15,991.2,3135,20230102,0933,20230102_0933
2023-01-02 09:34:00+05:30,990.7,992.1,990.45,990.65,4002,20230102,0934,20230102_0934
2023-01-02 09:35:00+05:30,990.65,991.5,990.1,990.9,5602,20230102,0935,20230102_0935
2023-01-02 09:36:00+05:30,990.4,990.95,989.4,990.25,9307,20230102,0936,20230102_0936
2023-01-02 09:37:00+05:30,990.05,990.75,989.4,990.75,2750,20230102,0937,20230102_0937
2023-01-02 09:38:00+05:30,990.2,990.95,989.3,989.55,3414,20230102,0938,20230102_0938
2023-01-02 09:39:00+05:30,989.2,989.75,989.0,989.75,1901,20230102,0939,20230102_0939
