date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 00:00:00+05:30,463.5,469.95,462.65,468.05,9346277,20240101,0000,20240101_0000
2024-01-02 00:00:00+05:30,470.0,471.35,463.6,470.35,10519771,20240102,0000,20240102_0000
2024-01-03 00:00:00+05:30,470.25,480.7,469.35,477.25,24036012,20240103,0000,20240103_0000
2024-01-04 00:00:00+05:30,480.0,481.45,474.2,476.4,11786959,20240104,0000,20240104_0000
2024-01-05 00:00:00+05:30,479.4,479.4,472.0,473.95,9209405,20240105,0000,20240105_0000
2024-01-08 00:00:00+05:30,475.0,475.5,464.55,465.5,8003177,20240108,0000,20240108_0000
2024-01-09 00:00:00+05:30,467.5,469.95,463.65,464.55,5696780,20240109,0000,20240109_0000
2024-01-10 00:00:00+05:30,464.55,466.75,460.05,463.3,5896123,20240110,0000,20240110_0000
2024-01-11 00:00:00+05:30,464.1,466.55,461.1,462.65,6534775,20240111,0000,20240111_0000
2024-01-12 00:00:00+05:30,463.25,467.7,460.35,466.7,9354326,20240112,0000,20240112_0000
2024-01-15 00:00:00+05:30,470.0,470.5,466.1,467.6,6902156,20240115,0000,20240115_0000
2024-01-16 00:00:00+05:30,467.8,475.0,464.25,472.3,12066347,20240116,0000,20240116_0000
2024-01-17 00:00:00+05:30,471.4,477.0,465.2,466.6,11108698,20240117,0000,20240117_0000
2024-01-18 00:00:00+05:30,465.25,467.85,454.55,465.5,9143784,20240118,0000,20240118_0000
2024-01-19 00:00:00+05:30,468.55,473.0,466.4,471.5,12203322,20240119,0000,20240119_0000
2024-01-20 00:00:00+05:30,473.4,475.0,468.0,468.4,3296407,20240120,0000,20240120_0000
2024-01-23 00:00:00+05:30,473.75,473.75,456.4,459.3,8404513,20240123,0000,20240123_0000
2024-01-24 00:00:00+05:30,460.1,467.4,458.1,463.6,21626183,20240124,0000,20240124_0000
2024-01-25 00:00:00+05:30,463.55,464.95,452.1,455.65,19677700,20240125,0000,20240125_0000
2024-01-29 00:00:00+05:30,455.9,457.25,447.5,449.8,17869152,20240129,0000,20240129_0000
2024-01-30 00:00:00+05:30,447.0,453.7,437.4,438.05,43514448,20240130,0000,20240130_0000
2024-01-31 00:00:00+05:30,440.0,442.5,438.7,441.55,19882944,20240131,0000,20240131_0000
2024-02-01 00:00:00+05:30,442.0,447.75,439.3,442.9,19165409,20240201,0000,20240201_0000
2024-02-02 00:00:00+05:30,445.0,447.2,439.5,440.1,17156021,20240202,0000,20240202_0000
2024-02-05 00:00:00+05:30,442.0,443.65,436.55,438.05,12041897,20240205,0000,20240205_0000
2024-02-06 00:00:00+05:30,440.0,440.9,429.5,431.4,18764371,20240206,0000,20240206_0000
2024-02-07 00:00:00+05:30,435.0,435.0,430.8,431.8,12880824,20240207,0000,20240207_0000
2024-02-08 00:00:00+05:30,429.0,429.1,408.6,414.55,48183882,20240208,0000,20240208_0000
2024-02-09 00:00:00+05:30,410.1,424.2,408.6,415.5,32283965,20240209,0000,20240209_0000
2024-02-12 00:00:00+05:30,417.55,418.0,406.05,406.85,10906914,20240212,0000,20240212_0000
2024-02-13 00:00:00+05:30,406.9,410.8,403.3,406.75,15606705,20240213,0000,20240213_0000
2024-02-14 00:00:00+05:30,406.0,412.25,404.4,411.55,12150077,20240214,0000,20240214_0000
2024-02-15 00:00:00+05:30,413.0,414.55,403.15,403.9,20383983,20240215,0000,20240215_0000
2024-02-16 00:00:00+05:30,405.0,409.55,399.4,404.6,37518847,20240216,0000,20240216_0000
2024-02-19 00:00:00+05:30,405.0,412.75,404.6,409.25,16949793,20240219,0000,20240219_0000
2024-02-20 00:00:00+05:30,410.45,410.45,404.3,406.1,14084218,20240220,0000,20240220_0000
2024-02-21 00:00:00+05:30,407.0,410.1,401.3,403.35,19414653,20240221,0000,20240221_0000
2024-02-22 00:00:00+05:30,406.9,415.15,403.45,414.45,18604659,20240222,0000,20240222_0000
2024-02-23 00:00:00+05:30,415.9,415.9,410.5,411.4,11147636,20240223,0000,20240223_0000
