date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 00:00:00+05:30,1909.0,1919.0,1893.1,1909.15,1425902,20240101,0000,20240101_0000
2024-01-02 00:00:00+05:30,1908.0,1908.0,1860.1,1865.05,5120796,20240102,0000,20240102_0000
2024-01-03 00:00:00+05:30,1864.0,1870.0,1847.65,1865.9,3781515,20240103,0000,20240103_0000
2024-01-04 00:00:00+05:30,1871.5,1871.5,1860.55,1863.6,2865766,20240104,0000,20240104_0000
2024-01-05 00:00:00+05:30,1865.5,1869.9,1841.4,1847.6,7799341,20240105,0000,20240105_0000
2024-01-08 00:00:00+05:30,1848.0,1851.45,1818.6,1826.1,12253167,20240108,0000,20240108_0000
2024-01-09 00:00:00+05:30,1837.0,1858.0,1821.0,1826.65,4339223,20240109,0000,20240109_0000
2024-01-10 00:00:00+05:30,1820.8,1832.5,1811.6,1820.8,7052758,20240110,0000,20240110_0000
2024-01-11 00:00:00+05:30,1832.0,1841.4,1815.35,1822.85,4170070,20240111,0000,20240111_0000
2024-01-12 00:00:00+05:30,1825.0,1842.55,1814.4,1833.25,2172621,20240112,0000,20240112_0000
2024-01-15 00:00:00+05:30,1843.0,1853.6,1836.25,1851.5,6172312,20240115,0000,20240115_0000
2024-01-16 00:00:00+05:30,1850.55,1860.95,1841.0,1848.0,4650898,20240116,0000,20240116_0000
2024-01-17 00:00:00+05:30,1823.05,1834.65,1776.1,1779.65,10836883,20240117,0000,20240117_0000
2024-01-18 00:00:00+05:30,1770.0,1792.7,1764.6,1777.25,4293450,20240118,0000,20240118_0000
2024-01-19 00:00:00+05:30,1787.05,1799.95,1754.15,1764.3,4560329,20240119,0000,20240119_0000
2024-01-20 00:00:00+05:30,1774.45,1829.45,1758.1,1806.8,5456020,20240120,0000,20240120_0000
2024-01-23 00:00:00+05:30,1801.0,1824.9,1763.9,1784.5,6780824,20240123,0000,20240123_0000
2024-01-24 00:00:00+05:30,1789.0,1803.5,1762.9,1788.6,3268351,20240124,0000,20240124_0000
2024-01-25 00:00:00+05:30,1790.0,1797.6,1752.4,1768.4,6702170,20240125,0000,20240125_0000
2024-01-29 00:00:00+05:30,1785.3,1830.05,1776.0,1822.9,5236148,20240129,0000,20240129_0000
2024-01-30 00:00:00+05:30,1825.0,1839.45,1803.35,1823.6,3829187,20240130,0000,20240130_0000
2024-01-31 00:00:00+05:30,1816.0,1841.45,1788.5,1825.25,8117401,20240131,0000,20240131_0000
2024-02-01 00:00:00+05:30,1830.0,1832.05,1813.2,1822.75,2072168,20240201,0000,20240201_0000
2024-02-02 00:00:00+05:30,1841.8,1850.0,1818.4,1822.95,5049876,20240202,0000,20240202_0000
2024-02-05 00:00:00+05:30,1825.0,1826.95,1799.0,1808.35,3460806,20240205,0000,20240205_0000
2024-02-06 00:00:00+05:30,1814.0,1814.0,1783.15,1787.0,4691897,20240206,0000,20240206_0000
2024-02-07 00:00:00+05:30,1791.0,1809.8,1784.0,1792.6,4592224,20240207,0000,20240207_0000
2024-02-08 00:00:00+05:30,1801.55,1803.8,1727.05,1729.7,4542774,20240208,0000,20240208_0000
2024-02-09 00:00:00+05:30,1730.0,1749.0,1719.0,1742.45,4063976,20240209,0000,20240209_0000
2024-02-12 00:00:00+05:30,1743.0,1749.0,1691.1,1709.55,4506489,20240212,0000,20240212_0000
2024-02-13 00:00:00+05:30,1713.0,1745.1,1709.0,1737.15,4492334,20240213,0000,20240213_0000
2024-02-14 00:00:00+05:30,1723.65,1764.8,1712.15,1748.95,3850323,20240214,0000,20240214_0000
2024-02-15 00:00:00+05:30,1755.0,1757.45,1720.05,1739.25,2541670,20240215,0000,20240215_0000
2024-02-16 00:00:00+05:30,1749.95,1751.0,1732.2,1735.25,1643146,20240216,0000,20240216_0000
2024-02-19 00:00:00+05:30,1744.0,1744.0,1726.15,1731.4,4447954,20240219,0000,20240219_0000
2024-02-20 00:00:00+05:30,1739.7,1768.65,1737.35,1762.5,7611124,20240220,0000,20240220_0000
2024-02-21 00:00:00+05:30,1769.0,1769.0,1740.55,1746.1,4184871,20240221,0000,20240221_0000
2024-02-22 00:00:00+05:30,1744.5,1745.0,1714.2,1724.75,6200760,20240222,0000,20240222_0000
2024-02-23 00:00:00+05:30,1724.5,1732.75,1715.4,1724.0,3453766,20240223,0000,20240223_0000
