date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 00:00:00+05:30,237.9,239.5,236.4,238.25,5952776,20240101,0000,20240101_0000
2024-01-02 00:00:00+05:30,240.0,240.1,236.15,237.85,9128513,20240102,0000,20240102_0000
2024-01-03 00:00:00+05:30,236.0,238.7,234.6,237.05,8284439,20240103,0000,20240103_0000
2024-01-04 00:00:00+05:30,238.0,243.1,237.05,241.45,19663959,20240104,0000,20240104_0000
2024-01-05 00:00:00+05:30,242.0,245.0,239.3,241.25,16345257,20240105,0000,20240105_0000
2024-01-08 00:00:00+05:30,242.4,245.25,240.4,242.35,13585746,20240108,0000,20240108_0000
2024-01-09 00:00:00+05:30,242.6,244.65,241.5,242.3,8688409,20240109,0000,20240109_0000
2024-01-10 00:00:00+05:30,241.0,242.1,238.0,239.15,16872195,20240110,0000,20240110_0000
2024-01-11 00:00:00+05:30,240.25,243.1,239.2,241.95,18812468,20240111,0000,20240111_0000
2024-01-12 00:00:00+05:30,242.5,242.65,238.8,239.5,11296498,20240112,0000,20240112_0000
2024-01-15 00:00:00+05:30,240.4,241.5,237.0,241.15,12597366,20240115,0000,20240115_0000
2024-01-16 00:00:00+05:30,241.65,242.4,237.7,239.05,7478450,20240116,0000,20240116_0000
2024-01-17 00:00:00+05:30,238.5,241.2,237.7,239.2,13620300,20240117,0000,20240117_0000
2024-01-18 00:00:00+05:30,227.25,235.7,226.05,233.45,25522629,20240118,0000,20240118_0000
2024-01-19 00:00:00+05:30,235.0,236.95,232.4,235.4,20931080,20240119,0000,20240119_0000
2024-01-20 00:00:00+05:30,238.0,240.8,236.5,237.2,6491870,20240120,0000,20240120_0000
2024-01-23 00:00:00+05:30,241.0,246.8,236.25,237.95,27492163,20240123,0000,20240123_0000
2024-01-24 00:00:00+05:30,236.15,247.0,235.0,246.2,28309825,20240124,0000,20240124_0000
2024-01-25 00:00:00+05:30,244.75,248.7,243.1,245.5,20651484,20240125,0000,20240125_0000
2024-01-29 00:00:00+05:30,245.45,255.0,245.15,253.95,26181011,20240129,0000,20240129_0000
2024-01-30 00:00:00+05:30,254.0,256.95,251.5,254.1,16031367,20240130,0000,20240130_0000
2024-01-31 00:00:00+05:30,254.0,260.0,252.4,259.3,34369455,20240131,0000,20240131_0000
2024-02-01 00:00:00+05:30,259.0,270.95,258.3,265.8,29929092,20240201,0000,20240201_0000
2024-02-02 00:00:00+05:30,264.5,281.4,263.95,277.1,33900724,20240202,0000,20240202_0000
2024-02-05 00:00:00+05:30,277.5,289.4,274.9,282.9,27440927,20240205,0000,20240205_0000
2024-02-06 00:00:00+05:30,282.9,282.9,272.3,274.25,29668277,20240206,0000,20240206_0000
2024-02-07 00:00:00+05:30,272.1,274.4,266.8,267.95,27335466,20240207,0000,20240207_0000
2024-02-08 00:00:00+05:30,270.8,288.05,270.8,276.2,69776717,20240208,0000,20240208_0000
2024-02-09 00:00:00+05:30,278.6,279.45,269.1,273.0,24496638,20240209,0000,20240209_0000
2024-02-12 00:00:00+05:30,273.2,276.0,266.25,270.3,19140023,20240212,0000,20240212_0000
2024-02-13 00:00:00+05:30,270.3,270.85,264.25,270.25,22031847,20240213,0000,20240213_0000
2024-02-14 00:00:00+05:30,269.5,275.0,267.0,273.65,13546941,20240214,0000,20240214_0000
2024-02-15 00:00:00+05:30,272.0,283.35,271.35,281.65,25475670,20240215,0000,20240215_0000
2024-02-16 00:00:00+05:30,282.0,282.9,273.3,274.55,25129188,20240216,0000,20240216_0000
2024-02-19 00:00:00+05:30,275.1,278.3,273.3,276.35,11429901,20240219,0000,20240219_0000
2024-02-20 00:00:00+05:30,278.35,288.75,277.7,287.9,43053543,20240220,0000,20240220_0000
2024-02-21 00:00:00+05:30,287.55,289.45,279.25,280.1,24651085,20240221,0000,20240221_0000
2024-02-22 00:00:00+05:30,280.1,283.5,273.25,282.6,26793590,20240222,0000,20240222_0000
2024-02-23 00:00:00+05:30,282.55,285.2,279.0,281.95,14313526,20240223,0000,20240223_0000
