date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 00:00:00+05:30,642.2,646.9,638.0,641.35,8295548,20240101,0000,20240101_0000
2024-01-02 00:00:00+05:30,641.35,648.0,633.85,639.45,15164482,20240102,0000,20240102_0000
2024-01-03 00:00:00+05:30,639.35,648.0,635.8,643.45,14571772,20240103,0000,20240103_0000
2024-01-04 00:00:00+05:30,642.5,646.4,638.65,642.75,13883388,20240104,0000,20240104_0000
2024-01-05 00:00:00+05:30,645.0,651.75,637.75,641.95,15984585,20240105,0000,20240105_0000
2024-01-08 00:00:00+05:30,640.0,645.0,625.05,627.0,14739531,20240108,0000,20240108_0000
2024-01-09 00:00:00+05:30,632.0,634.35,624.5,625.4,13400235,20240109,0000,20240109_0000
2024-01-10 00:00:00+05:30,624.8,625.3,618.2,621.75,12742464,20240110,0000,20240110_0000
2024-01-11 00:00:00+05:30,626.0,627.15,618.5,620.2,15533860,20240111,0000,20240111_0000
2024-01-12 00:00:00+05:30,623.8,636.5,621.1,633.6,16620797,20240112,0000,20240112_0000
2024-01-15 00:00:00+05:30,638.9,645.5,636.1,640.1,16844018,20240115,0000,20240115_0000
2024-01-16 00:00:00+05:30,640.0,644.9,633.45,636.9,15025543,20240116,0000,20240116_0000
2024-01-17 00:00:00+05:30,624.0,636.8,623.0,626.0,30016308,20240117,0000,20240117_0000
2024-01-18 00:00:00+05:30,625.8,633.45,619.05,628.3,14695436,20240118,0000,20240118_0000
2024-01-19 00:00:00+05:30,633.0,635.5,624.7,627.75,11675202,20240119,0000,20240119_0000
2024-01-20 00:00:00+05:30,629.0,633.8,624.1,631.4,9886760,20240120,0000,20240120_0000
2024-01-23 00:00:00+05:30,627.0,634.9,600.65,605.1,30954343,20240123,0000,20240123_0000
2024-01-24 00:00:00+05:30,609.95,622.35,603.1,618.3,19221835,20240124,0000,20240124_0000
2024-01-25 00:00:00+05:30,618.5,623.8,606.25,612.75,22684904,20240125,0000,20240125_0000
2024-01-29 00:00:00+05:30,619.0,629.5,615.6,622.95,19572140,20240129,0000,20240129_0000
2024-01-30 00:00:00+05:30,625.45,633.5,624.2,626.75,16966577,20240130,0000,20240130_0000
2024-01-31 00:00:00+05:30,626.4,643.2,622.0,640.5,23270745,20240131,0000,20240131_0000
2024-02-01 00:00:00+05:30,642.75,652.95,633.25,647.65,26587707,20240201,0000,20240201_0000
2024-02-02 00:00:00+05:30,652.0,660.55,646.7,649.65,27471811,20240202,0000,20240202_0000
2024-02-05 00:00:00+05:30,647.1,654.8,638.75,642.95,28339525,20240205,0000,20240205_0000
2024-02-06 00:00:00+05:30,644.45,655.0,637.7,650.25,14079390,20240206,0000,20240206_0000
2024-02-07 00:00:00+05:30,655.05,677.95,655.0,675.25,41696232,20240207,0000,20240207_0000
2024-02-08 00:00:00+05:30,680.4,718.9,678.5,699.55,74222434,20240208,0000,20240208_0000
2024-02-09 00:00:00+05:30,703.65,728.35,694.2,725.25,43235061,20240209,0000,20240209_0000
2024-02-12 00:00:00+05:30,726.0,726.0,704.5,707.9,22873137,20240212,0000,20240212_0000
2024-02-13 00:00:00+05:30,708.55,718.0,702.15,713.45,23351472,20240213,0000,20240213_0000
2024-02-14 00:00:00+05:30,705.55,748.5,705.55,743.4,36782182,20240214,0000,20240214_0000
2024-02-15 00:00:00+05:30,747.7,764.0,741.65,761.7,33941282,20240215,0000,20240215_0000
2024-02-16 00:00:00+05:30,763.45,774.6,753.35,754.7,27365121,20240216,0000,20240216_0000
2024-02-19 00:00:00+05:30,758.7,765.0,750.0,759.25,13979584,20240219,0000,20240219_0000
2024-02-20 00:00:00+05:30,759.05,763.5,754.0,760.1,12528399,20240220,0000,20240220_0000
2024-02-21 00:00:00+05:30,760.65,777.5,759.6,771.5,21465311,20240221,0000,20240221_0000
2024-02-22 00:00:00+05:30,773.0,773.0,757.0,765.9,18799244,20240222,0000,20240222_0000
2024-02-23 00:00:00+05:30,765.9,770.5,755.0,759.05,14143636,20240223,0000,20240223_0000
