date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 09:15:00+05:30,463.5,465.0,463.0,464.1,90312,20240101,0915,20240101_0915
2024-01-01 09:16:00+05:30,464.0,464.6,462.9,463.7,67614,20240101,0916,20240101_0916
2024-01-01 09:17:00+05:30,463.35,464.45,463.25,464.0,22872,20240101,0917,20240101_0917
2024-01-01 09:18:00+05:30,464.15,464.3,463.7,463.85,15529,20240101,0918,20240101_0918
2024-01-01 09:19:00+05:30,463.85,464.0,463.15,463.55,16836,20240101,0919,20240101_0919
2024-01-01 09:20:00+05:30,463.4,463.75,462.7,462.7,32824,20240101,0920,20240101_0920
2024-01-01 09:21:00+05:30,462.7,463.65,462.65,463.5,7915,20240101,0921,20240101_0921
2024-01-01 09:22:00+05:30,463.5,463.75,463.35,463.5,13447,20240101,0922,20240101_0922
2024-01-01 09:23:00+05:30,463.45,463.65,463.25,463.25,9781,20240101,0923,20240101_0923
2024-01-01 09:24:00+05:30,463.4,463.6,463.2,463.5,8550,20240101,0924,20240101_0924
2024-01-01 09:25:00+05:30,463.4,463.55,463.0,463.05,25397,20240101,0925,20240101_0925
2024-01-01 09:26:00+05:30,463.2,463.9,463.05,463.9,33778,20240101,0926,20240101_0926
2024-01-01 09:27:00+05:30,463.65,464.0,463.65,464.0,13812,20240101,0927,20240101_0927
2024-01-01 09:28:00+05:30,464.2,464.5,463.9,464.3,14584,20240101,0928,20240101_0928
2024-01-01 09:29:00+05:30,464.3,464.45,463.9,464.25,30743,20240101,0929,20240101_0929
2024-01-01 09:30:00+05:30,464.25,464.5,463.9,464.2,20728,20240101,0930,20240101_0930
2024-01-01 09:31:00+05:30,464.4,464.4,463.4,463.8,38025,20240101,0931,20240101_0931
2024-01-01 09:32:00+05:30,463.8,463.9,463.65,463.75,3091,20240101,0932,20240101_0932
2024-01-01 09:33:00+05:30,463.85,464.25,463.75,464.15,8675,20240101,0933,20240101_0933
2024-01-01 09:34:00+05:30,464.05,464.35,464.0,464.25,18128,20240101,0934,20240101_0934
2024-01-01 09:35:00+05:30,464.2,464.4,464.2,464.35,5820,20240101,0935,20240101_0935
2024-01-01 09:36:00+05:30,464.3,464.4,463.9,463.95,23699,20240101,0936,20240101_0936
2024-01-01 09:37:00+05:30,463.9,464.15,463.85,464.0,8900,20240101,0937,20240101_0937
2024-01-01 09:38:00+05:30,463.9,464.15,463.7,463.85,19191,20240101,0938,20240101_0938
2024-01-01 09:39:00+05:30,463.8,463.95,463.5,463.6,12066,20240101,0939,20240101_0939
2024-01-01 09:40:00+05:30,463.6,463.6,463.15,463.3,30187,20240101,0940,20240101_0940
2024-01-01 09:41:00+05:30,463.4,463.4,463.1,463.3,8565,20240101,0941,20240101_0941
2024-01-01 09:42:00+05:30,463.3,463.35,463.05,463.35,8934,20240101,0942,20240101_0942
2024-01-01 09:43:00+05:30,463.35,463.8,463.2,463.8,21868,20240101,0943,20240101_0943
2024-01-01 09:44:00+05:30,463.65,463.9,463.35,463.5,11859,20240101,0944,20240101_0944
2024-01-01 09:45:00+05:30,463.5,464.15,463.5,464.05,21627,20240101,0945,20240101_0945
2024-01-01 09:46:00+05:30,464.15,464.4,464.05,464.2,19221,20240101,0946,20240101_0946
2024-01-01 09:47:00+05:30,464.2,464.4,464.05,464.4,12551,20240101,0947,20240101_0947
2024-01-01 09:48:00+05:30,464.4,464.5,464.15,464.45,12677,20240101,0948,20240101_0948
2024-01-01 09:49:00+05:30,464.45,464.6,464.45,464.6,11571,20240101,0949,20240101_0949
2024-01-01 09:50:00+05:30,464.5,464.6,464.2,464.45,26947,20240101,0950,20240101_0950
2024-01-01 09:51:00+05:30,464.5,465.15,464.5,465.05,87229,20240101,0951,20240101_0951
2024-01-01 09:52:00+05:30,465.15,465.3,464.85,465.15,30509,20240101,0952,20240101_0952
2024-01-01 09:53:00+05:30,465.3,465.5,465.05,465.5,12160,20240101,0953,20240101_0953
2024-01-01 09:54:00+05:30,465.5,465.5,465.0,465.2,56251,20240101,0954,20240101_0954
2024-01-01 09:55:00+05:30,465.1,465.35,464.75,465.05,24116,20240101,0955,20240101_0955
2024-01-01 09:56:00+05:30,465.05,465.5,464.8,465.5,44428,20240101,0956,20240101_0956
2024-01-01 09:57:00+05:30,465.5,465.7,465.15,465.65,22687,20240101,0957,20240101_0957
2024-01-01 09:58:00+05:30,465.65,465.7,465.45,465.6,17763,20240101,0958,20240101_0958
2024-01-01 09:59:00+05:30,465.7,465.8,465.5,465.75,21254,20240101,0959,20240101_0959
2024-01-01 10:00:00+05:30,465.75,465.85,465.5,465.65,21162,20240101,1000,20240101_1000
2024-01-01 10:01:00+05:30,465.65,465.9,465.55,465.9,24288,20240101,1001,20240101_1001
2024-01-01 10:02:00+05:30,465.9,465.9,465.65,465.85,21101,20240101,1002,20240101_1002
2024-01-01 10:03:00+05:30,465.85,465.9,465.65,465.85,14074,20240101,1003,20240101_1003
2024-01-01 10:04:00+05:30,465.85,465.85,465.5,465.5,16346,20240101,1004,20240101_1004
2024-01-01 10:05:00+05:30,465.5,465.95,465.5,465.95,70013,20240101,1005,20240101_1005
2024-01-01 10:06:00+05:30,465.95,466.4,465.75,466.2,122381,20240101,1006,20240101_1006
2024-01-01 10:07:00+05:30,466.2,466.3,465.8,466.3,17415,20240101,1007,20240101_1007
2024-01-01 10:08:00+05:30,466.25,466.5,466.0,466.5,108344,20240101,1008,20240101_1008
2024-01-01 10:09:00+05:30,466.3,466.5,466.25,466.35,18356,20240101,1009,20240101_1009
2024-01-01 10:10:00+05:30,466.5,466.5,466.25,466.4,10234,20240101,1010,20240101_1010
2024-01-01 10:11:00+05:30,466.4,466.4,465.5,465.7,20860,20240101,1011,20240101_1011
2024-01-01 10:12:00+05:30,465.8,465.85,465.45,465.7,16615,20240101,1012,20240101_1012
2024-01-01 10:13:00+05:30,465.7,465.7,465.4,465.6,9135,20240101,1013,20240101_1013
2024-01-01 10:14:00+05:30,465.6,465.65,465.25,465.55,13139,20240101,1014,20240101_1014
2024-01-01 10:15:00+05:30,465.65,466.0,465.35,466.0,11846,20240101,1015,20240101_1015
2024-01-01 10:16:00+05:30,466.0,466.0,465.65,465.85,12907,20240101,1016,20240101_1016
2024-01-01 10:17:00+05:30,465.85,466.0,465.7,465.9,11285,20240101,1017,20240101_1017
2024-01-01 10:18:00+05:30,465.9,466.0,465.7,465.85,18473,20240101,1018,20240101_1018
2024-01-01 10:19:00+05:30,465.85,465.95,465.6,465.8,5908,20240101,1019,20240101_1019
2024-01-01 10:20:00+05:30,465.8,465.95,465.6,465.85,8125,20240101,1020,20240101_1020
2024-01-01 10:21:00+05:30,465.85,465.9,465.35,465.55,11472,20240101,1021,20240101_1021
2024-01-01 10:22:00+05:30,465.25,465.7,465.25,465.65,14247,20240101,1022,20240101_1022
2024-01-01 10:23:00+05:30,465.65,465.65,465.0,465.05,26994,20240101,1023,20240101_1023
2024-01-01 10:24:00+05:30,465.25,465.4,465.05,465.05,7946,20240101,1024,20240101_1024
2024-01-01 10:25:00+05:30,465.05,465.45,465.05,465.35,13019,20240101,1025,20240101_1025
2024-01-01 10:26:00+05:30,465.35,465.65,465.25,465.6,8298,20240101,1026,20240101_1026
2024-01-01 10:27:00+05:30,465.6,465.7,465.3,465.5,37463,20240101,1027,20240101_1027
2024-01-01 10:28:00+05:30,465.5,465.65,465.3,465.45,8589,20240101,1028,20240101_1028
2024-01-01 10:29:00+05:30,465.5,465.6,465.2,465.4,8344,20240101,1029,20240101_1029
2024-01-01 10:30:00+05:30,465.4,465.6,465.25,465.5,11290,20240101,1030,20240101_1030
2024-01-01 10:31:00+05:30,465.6,465.7,465.45,465.6,6850,20240101,1031,20240101_1031
2024-01-01 10:32:00+05:30,465.6,465.7,465.5,465.5,6101,20240101,1032,20240101_1032
2024-01-01 10:33:00+05:30,465.5,466.0,465.4,465.95,28428,20240101,1033,20240101_1033
2024-01-01 10:34:00+05:30,465.95,466.0,465.7,466.0,16092,20240101,1034,20240101_1034
2024-01-01 10:35:00+05:30,465.75,466.0,465.75,465.85,32984,20240101,1035,20240101_1035
2024-01-01 10:36:00+05:30,465.95,465.95,465.55,465.6,24164,20240101,1036,20240101_1036
2024-01-01 10:37:00+05:30,465.6,465.85,465.55,465.65,7099,20240101,1037,20240101_1037
2024-01-01 10:38:00+05:30,465.75,465.75,465.5,465.5,6137,20240101,1038,20240101_1038
2024-01-01 10:39:00+05:30,465.65,465.65,465.35,465.65,7586,20240101,1039,20240101_1039
2024-01-01 10:40:00+05:30,465.65,465.8,465.4,465.75,10042,20240101,1040,20240101_1040
2024-01-01 10:41:00+05:30,465.75,465.8,465.45,465.5,18250,20240101,1041,20240101_1041
2024-01-01 10:42:00+05:30,465.5,465.75,465.35,465.6,7202,20240101,1042,20240101_1042
2024-01-01 10:43:00+05:30,465.6,465.65,465.35,465.4,14312,20240101,1043,20240101_1043
2024-01-01 10:44:00+05:30,465.25,465.75,465.25,465.7,14494,20240101,1044,20240101_1044
2024-01-01 10:45:00+05:30,465.6,465.8,465.5,465.65,12638,20240101,1045,20240101_1045
2024-01-01 10:46:00+05:30,465.75,466.0,465.6,465.8,9619,20240101,1046,20240101_1046
2024-01-01 10:47:00+05:30,466.0,466.0,465.75,465.8,10917,20240101,1047,20240101_1047
2024-01-01 10:48:00+05:30,465.8,465.9,465.55,465.8,7839,20240101,1048,20240101_1048
2024-01-01 10:49:00+05:30,465.75,465.85,465.65,465.8,5522,20240101,1049,20240101_1049
2024-01-01 10:50:00+05:30,465.8,465.8,465.55,465.8,7316,20240101,1050,20240101_1050
2024-01-01 10:51:00+05:30,465.75,465.8,465.55,465.6,6094,20240101,1051,20240101_1051
2024-01-01 10:52:00+05:30,465.55,465.75,465.5,465.55,10184,20240101,1052,20240101_1052
2024-01-01 10:53:00+05:30,465.5,465.75,465.5,465.65,7079,20240101,1053,20240101_1053
2024-01-01 10:54:00+05:30,465.7,465.7,465.5,465.6,9390,20240101,1054,20240101_1054
2024-01-01 10:55:00+05:30,465.5,465.75,465.5,465.6,10938,20240101,1055,20240101_1055
2024-01-01 10:56:00+05:30,465.7,465.75,465.5,465.5,6423,20240101,1056,20240101_1056
2024-01-01 10:57:00+05:30,465.65,465.7,465.5,465.7,8035,20240101,1057,20240101_1057
2024-01-01 10:58:00+05:30,465.7,465.8,465.55,465.7,3516,20240101,1058,20240101_1058
