date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 09:15:00+05:30,588.0,589.05,587.2,588.1,4968,20240101,0915,20240101_0915
2024-01-01 09:16:00+05:30,588.7,589.95,588.25,588.6,12569,20240101,0916,20240101_0916
2024-01-01 09:17:00+05:30,588.6,588.9,588.5,588.5,4470,20240101,0917,20240101_0917
2024-01-01 09:18:00+05:30,588.5,589.25,588.5,589.05,4209,20240101,0918,20240101_0918
2024-01-01 09:19:00+05:30,589.05,589.65,588.8,589.25,3999,20240101,0919,20240101_0919
2024-01-01 09:20:00+05:30,588.8,589.9,588.8,589.25,5726,20240101,0920,20240101_0920
2024-01-01 09:21:00+05:30,589.35,589.75,589.0,589.75,2046,20240101,0921,20240101_0921
2024-01-01 09:22:00+05:30,589.75,589.9,588.95,588.95,5054,20240101,0922,20240101_0922
2024-01-01 09:23:00+05:30,588.95,589.25,588.5,588.75,4926,20240101,0923,20240101_0923
2024-01-01 09:24:00+05:30,589.0,589.5,588.65,589.5,2315,20240101,0924,20240101_0924
2024-01-01 09:25:00+05:30,589.05,589.45,588.8,589.1,3599,20240101,0925,20240101_0925
2024-01-01 09:26:00+05:30,589.1,589.4,588.75,589.15,2678,20240101,0926,20240101_0926
2024-01-01 09:27:00+05:30,589.15,589.9,589.0,589.85,4959,20240101,0927,20240101_0927
2024-01-01 09:28:00+05:30,589.9,590.9,589.7,590.9,19511,20240101,0928,20240101_0928
2024-01-01 09:29:00+05:30,590.6,590.9,590.5,590.65,10841,20240101,0929,20240101_0929
2024-01-01 09:30:00+05:30,590.5,590.5,590.0,590.5,6698,20240101,0930,20240101_0930
2024-01-01 09:31:00+05:30,590.6,590.6,590.05,590.35,4622,20240101,0931,20240101_0931
2024-01-01 09:32:00+05:30,590.45,590.65,589.75,590.65,4939,20240101,0932,20240101_0932
2024-01-01 09:33:00+05:30,590.65,591.8,590.4,591.8,17550,20240101,0933,20240101_0933
2024-01-01 09:34:00+05:30,591.8,592.9,591.65,592.6,19912,20240101,0934,20240101_0934
2024-01-01 09:35:00+05:30,592.3,593.55,592.3,593.3,22478,20240101,0935,20240101_0935
2024-01-01 09:36:00+05:30,593.25,593.75,592.55,593.5,21041,20240101,0936,20240101_0936
2024-01-01 09:37:00+05:30,593.75,593.85,593.3,593.6,12106,20240101,0937,20240101_0937
2024-01-01 09:38:00+05:30,593.5,593.9,593.3,593.9,15841,20240101,0938,20240101_0938
2024-01-01 09:39:00+05:30,593.9,593.9,593.2,593.55,11429,20240101,0939,20240101_0939
2024-01-01 09:40:00+05:30,593.25,594.3,593.2,594.3,16155,20240101,0940,20240101_0940
2024-01-01 09:41:00+05:30,594.1,595.4,594.1,595.05,36775,20240101,0941,20240101_0941
2024-01-01 09:42:00+05:30,595.05,595.35,595.0,595.25,26225,20240101,0942,20240101_0942
2024-01-01 09:43:00+05:30,594.95,596.0,594.7,595.85,21737,20240101,0943,20240101_0943
